i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T
175	0	0	93.7013   1.7545    1.7541    1.7545    1.7541    
176	0	0	94.8027   1.76252   1.76184   1.76252   1.76184   
177	0	0	94.0674   1.77002   1.76967   1.77002   1.76967   
178	0	0	93.6322   1.7784    1.77746   1.7784    1.77746   
179	0	0	95.1154   1.78565   1.78543   1.78565   1.78543   
180	0	0	96.9844   1.7942    1.79361   1.7942    1.79361   
181	0	0	95.3387   1.80225   1.80194   1.80225   1.80194   
182	0	0	96.8639   1.8112    1.81034   1.8112    1.81034   
183	0	0	97.4899   1.81964   1.81893   1.81964   1.81893   
184	0	0	97.6335   1.82822   1.82765   1.82822   1.82765   
185	0	0	99.6676   1.83766   1.83656   1.83766   1.83656   
186	0	0	98.8822   1.8464    1.84563   1.8464    1.84563   
187	0	0	99.7196   1.85523   1.8548    1.85523   1.8548    
188	0	0	100.248   1.86472   1.86414   1.86472   1.86414   
189	0	0	99.6667   1.87425   1.87358   1.87425   1.87358   
190	0	0	100.896   1.88371   1.88316   1.88371   1.88316   
191	0	0	101.276   1.8933    1.89293   1.8933    1.89293   
192	0	0	102.26    1.90321   1.90289   1.90321   1.90289   
193	0	0	102.827   1.91391   1.91304   1.91391   1.91304   
194	0	0	102.739   1.92406   1.92334   1.92406   1.92334   
195	0	0	103.493   1.9345    1.9338    1.9345    1.9338    
196	0	0	104.998   1.94558   1.94451   1.94558   1.94451   
197	0	0	105.726   1.95629   1.95547   1.95629   1.95547   
198	0	0	105.892   1.96685   1.96659   1.96685   1.96659   
199	0	0	105.053   1.9788    1.97783   1.9788    1.97783   
200	0	0	105.645   1.99033   1.98927   1.99033   1.98927   
201	0	0	105.424   2.00154   2.00087   2.00154   2.00087   
202	0	0	105.924   2.01349   2.01264   2.01349   2.01264   
203	0	0	106.538   2.02564   2.02464   2.02564   2.02464   
204	0	0	108.447   2.0377    2.03693   2.0377    2.03693   
205	0	0	109.482   2.0504    2.04958   2.0504    2.04958   
206	0	0	110.234   2.06339   2.0625    2.06339   2.0625    
207	0	0	110.247   2.07683   2.07566   2.07683   2.07566   
208	0	0	111.912   2.08998   2.08913   2.08998   2.08913   
