i	j	k	Dose(Gy)       
75	5	5	3.49281e-08    
76	4	4	3.58886e-08    
76	4	5	3.84286e-08    
76	5	4	3.57625e-08    
76	5	5	3.48038e-08    
77	4	4	3.53236e-08    
77	4	5	3.83321e-08    
77	5	4	3.68566e-08    
77	5	5	3.51332e-08    
78	4	4	3.66264e-08    
78	4	5	3.9018e-08     
78	5	4	3.60575e-08    
78	5	5	3.67158e-08    
79	4	4	3.61539e-08    
79	4	5	3.89947e-08    
79	5	4	3.61518e-08    
79	5	5	3.58798e-08    
80	4	4	3.67509e-08    
80	4	5	3.92591e-08    
80	5	4	3.6638e-08     
80	5	5	3.56693e-08    
81	4	4	3.67901e-08    
81	4	5	3.86366e-08    
81	5	4	3.69828e-08    
81	5	5	3.64174e-08    
82	4	4	3.75448e-08    
82	4	5	3.96264e-08    
82	5	4	3.65251e-08    
82	5	5	3.70562e-08    
83	4	4	3.76569e-08    
83	4	5	3.97105e-08    
83	5	4	3.71536e-08    
83	5	5	3.68076e-08    
84	4	4	3.80549e-08    
84	4	5	3.96552e-08    
84	5	4	3.69096e-08    
84	5	5	3.71454e-08    
85	4	4	3.81306e-08    
85	4	5	3.96162e-08    
85	5	4	3.85341e-08    
85	5	5	3.67408e-08    
86	4	4	3.75889e-08    
86	4	5	4.00657e-08    
86	5	4	3.83763e-08    
86	5	5	3.82057e-08    
87	4	4	3.93184e-08    
87	4	5	4.00302e-08    
87	5	4	3.9026e-08     
87	5	5	3.81873e-08    
88	4	4	3.87015e-08    
88	4	5	4.12251e-08    
88	5	4	3.91595e-08    
88	5	5	3.84853e-08    
89	4	4	3.90628e-08    
89	4	5	4.17793e-08    
89	5	4	3.90192e-08    
89	5	5	3.85965e-08    
90	4	4	3.91324e-08    
90	4	5	4.14564e-08    
90	5	4	3.92138e-08    
90	5	5	3.87054e-08    
91	4	4	3.93943e-08    
91	4	5	4.15436e-08    
91	5	4	3.97683e-08    
91	5	5	3.91568e-08    
92	4	4	3.97601e-08    
92	4	5	4.19119e-08    
92	5	4	3.97514e-08    
92	5	5	3.92238e-08    
93	4	4	4.02672e-08    
93	4	5	4.19973e-08    
93	5	4	3.96952e-08    
93	5	5	3.9938e-08     
94	4	4	4.01565e-08    
94	4	5	4.23893e-08    
94	5	4	4.03324e-08    
94	5	5	4.05492e-08    
95	4	4	4.00268e-08    
95	4	5	4.20785e-08    
95	5	4	4.09597e-08    
95	5	5	4.03339e-08    
96	4	4	4.10764e-08    
96	4	5	4.2934e-08     
96	5	4	4.11934e-08    
96	5	5	4.03626e-08    
97	4	4	4.14072e-08    
97	4	5	4.40501e-08    
97	5	4	4.12065e-08    
97	5	5	4.08967e-08    
98	4	4	4.18535e-08    
98	4	5	4.33508e-08    
98	5	4	4.18226e-08    
98	5	5	4.03628e-08    
99	4	4	4.23073e-08    
99	4	5	4.38161e-08    
99	5	4	4.18406e-08    
99	5	5	4.12946e-08    
100	4	4	4.33075e-08    
100	4	5	4.4861e-08     
100	5	4	4.26586e-08    
100	5	5	4.1777e-08     
101	4	4	4.33456e-08    
101	4	5	4.43549e-08    
