i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
185	0	0	4.03048e-09    4.03048e-09    20             0              0              0              0              
186	0	0	4.09297e-09    4.09297e-09    20             0              0              0              0              
187	0	0	4.01721e-09    4.01721e-09    20             0              0              0              0              
188	0	0	3.82275e-09    3.82275e-09    20             0              0              0              0              
189	0	0	3.93708e-09    3.93708e-09    20             0              0              0              0              
190	0	0	4.12315e-09    4.12315e-09    20             0              0              0              0              
191	0	0	4.14398e-09    4.14398e-09    20             0              0              0              0              
192	0	0	4.25048e-09    4.25048e-09    20             0              0              0              0              
193	0	0	4.14221e-09    4.14221e-09    20             0              0              0              0              
194	0	0	4.11548e-09    4.11548e-09    20             0              0              0              0              
195	0	0	4.4995e-09     4.4995e-09     20             0              0              0              0              
196	0	0	4.40027e-09    4.40027e-09    20             0              0              0              0              
197	0	0	4.34683e-09    4.34683e-09    20             0              0              0              0              
198	0	0	4.54197e-09    4.54197e-09    20             0              0              0              0              
199	0	0	4.5393e-09     4.5393e-09     20             0              0              0              0              
200	0	0	4.6866e-09     4.6866e-09     20             0              0              0              0              
201	0	0	4.95914e-09    4.95914e-09    20             0              0              0              0              
202	0	0	4.69677e-09    4.69677e-09    20             0              0              0              0              
203	0	0	4.89086e-09    4.89086e-09    20             0              0              0              0              
204	0	0	5.32183e-09    5.32183e-09    20             0              0              0              0              
205	0	0	5.78639e-09    5.78639e-09    20             0              0              0              0              
206	0	0	3.97817e-09    3.97817e-09    19             0              0              0              0              
207	0	0	4.23984e-09    4.23984e-09    19             0              0              0              0              
208	0	0	4.1176e-09     4.1176e-09     19             0              0              0              0              
209	0	0	4.03839e-09    4.03839e-09    19             0              0              0              0              
210	0	0	4.17849e-09    4.17849e-09    19             0              0              0              0              
211	0	0	4.24209e-09    4.24209e-09    19             0              0              0              0              
212	0	0	4.30669e-09    4.30669e-09    19             0              0              0              0              
213	0	0	4.40001e-09    4.40001e-09    19             0              0              0              0              
214	0	0	4.56698e-09    4.56698e-09    19             0              0              0              0              
215	0	0	4.47334e-09    4.47334e-09    19             0              0              0              0              
216	0	0	4.27003e-09    4.27003e-09    19             0              0              0              0              
217	0	0	4.63487e-09    4.63487e-09    19             0              0              0              0              
218	0	0	4.51166e-09    4.51166e-09    19             0              0              0              0              
219	0	0	4.37625e-09    4.37625e-09    19             0              0              0              0              
220	0	0	4.51525e-09    4.51525e-09    19             0              0              0              0              
221	0	0	4.57997e-09    4.57997e-09    19             0              0              0              0              
222	0	0	4.84599e-09    4.84599e-09    19             0              0              0              0              
223	0	0	4.75333e-09    4.75333e-09    19             0              0              0              0              
224	0	0	4.84703e-09    4.84703e-09    19             0              0              0              0              
225	0	0	5.03616e-09    5.03616e-09    19             0              0              0              0              
226	0	0	4.94167e-09    4.94167e-09    19             0              0              0              0              
227	0	0	4.87441e-09    4.87441e-09    19             0              0              0              0              
228	0	0	4.88754e-09    4.88754e-09    19             0              0              0              0              
229	0	0	5.00614e-09    5.00614e-09    19             0              0              0              0              
230	0	0	5.01377e-09    5.01377e-09    19             0              0              0              0              
231	0	0	5.21387e-09    5.21387e-09    19             0              0              0              0              
232	0	0	5.19838e-09    5.19838e-09    19             0              0              0              0              
233	0	0	5.7571e-09     5.60868e-09    19             1.4842e-10     1              0              0              
234	0	0	7.35164e-09    6.81341e-09    19             5.38234e-10    1              0              0              
235	0	0	9.24358e-09    8.7043e-09     19             5.39275e-10    1              0              0              
236	0	0	5.60501e-09    5.08822e-09    18             5.16792e-10    1              0              0              
237	0	0	5.91548e-09    5.32211e-09    18             5.93368e-10    1              0              0              
238	0	0	5.88741e-09    5.29339e-09    18             5.94022e-10    1              0              0              
239	0	0	5.94802e-09    5.3449e-09     18             6.03121e-10    1              0              0              
240	0	0	6.22526e-09    5.54376e-09    18             6.81509e-10    1              0              0              
