i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
155	0	0	1.94561        1.78697        1.94561        1.78697        0              0              0              0              
156	0	0	1.94315        1.79861        1.94315        1.79861        0              0              0              0              
157	0	0	1.93085        1.81002        1.93085        1.81002        0              0              0              0              
158	0	0	1.98573        1.82226        1.98573        1.82226        0              0              0              0              
159	0	0	2.00642        1.83518        2.00642        1.83518        0              0              0              0              
160	0	0	48.257         2.09487        1.99168        1.84877        0              0              356.866        356.866        
161	0	0	2.06255        1.8634         2.06255        1.8634         0              0              0              0              
162	0	0	2.12521        1.88004        2.12521        1.88004        0              0              0              0              
163	0	0	2.14838        1.89706        2.14838        1.89706        0              0              0              0              
164	0	0	2.21239        1.91584        2.21239        1.91584        0              0              0              0              
165	0	0	2.23453        1.93532        2.23453        1.93532        0              0              0              0              
166	0	0	2.30378        1.95648        2.30378        1.95648        0              0              0              0              
167	0	0	2.39312        1.98182        2.39312        1.98182        0              0              0              0              
168	0	0	2.52353        2.01279        2.52353        2.01279        0              0              0              0              
169	0	0	2.61654        2.04861        2.61654        2.04861        0              0              0              0              
170	0	0	2.79978        2.09219        2.79978        2.09219        0              0              0              0              
171	0	0	3.22382        2.15351        3.22382        2.15351        0              0              0              0              
172	0	0	3.96363        2.25592        3.96363        2.25592        0              0              0              0              
173	0	0	6.15644        2.50722        6.15644        2.50722        0              0              0              0              
174	0	0	10.6148        2.39934        10.6148        2.39934        0              0              0              0              
175	0	0	1.88684        1.86061        1.88684        1.86061        0              0              0              0              
176	0	0	1.90403        1.87079        1.90403        1.87079        0              0              0              0              
177	0	0	1.92453        1.88097        1.92453        1.88097        0              0              0              0              
178	0	0	1.93111        1.8916         1.93111        1.8916         0              0              0              0              
179	0	0	1.9611         1.90294        1.9611         1.90294        0              0              0              0              
180	0	0	1.94682        1.91462        1.94682        1.91462        0              0              0              0              
181	0	0	2.0023         1.92634        2.0023         1.92634        0              0              0              0              
182	0	0	1.98906        1.93861        1.98906        1.93861        0              0              0              0              
183	0	0	2.0113         1.95087        2.0113         1.95087        0              0              0              0              
184	0	0	2.02941        1.96362        2.02941        1.96362        0              0              0              0              
185	0	0	2.04785        1.97714        2.04785        1.97714        0              0              0              0              
186	0	0	2.05653        1.99083        2.05653        1.99083        0              0              0              0              
187	0	0	2.08881        2.00491        2.08881        2.00491        0              0              0              0              
188	0	0	2.12242        2.0192         2.12242        2.0192         0              0              0              0              
189	0	0	2.13101        2.03388        2.13101        2.03388        0              0              0              0              
190	0	0	2.16608        2.0495         2.16608        2.0495         0              0              0              0              
191	0	0	2.19854        2.06635        2.19854        2.06635        0              0              0              0              
192	0	0	2.22491        2.08403        2.22491        2.08403        0              0              0              0              
193	0	0	2.2889         2.10318        2.2889         2.10318        0              0              0              0              
194	0	0	2.27796        2.12286        2.27796        2.12286        0              0              0              0              
195	0	0	2.30005        2.14343        2.30005        2.14343        0              0              0              0              
196	0	0	2.40718        2.16686        2.40718        2.16686        0              0              0              0              
197	0	0	2.44359        2.19226        2.44359        2.19226        0              0              0              0              
198	0	0	2.48803        2.2198         2.48803        2.2198         0              0              0              0              
199	0	0	2.62268        2.25219        2.62268        2.25219        0              0              0              0              
200	0	0	2.72925        2.2904         2.72925        2.2904         0              0              0              0              
201	0	0	2.92565        2.3388         2.92565        2.3388         0              0              0              0              
