i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
166	0	0	148270         0.741084       0.740697       0.741084       0.740697       0              0              0              0              
167	0	0	149989         0.753504       0.749322       0.749764       0.749318       0              0              500.184        413.639        
168	0	0	151746         0.759046       0.758321       0.759046       0.758321       0              0              0              0              
169	0	0	153652         0.768603       0.767656       0.768603       0.767656       0              0              0              0              
170	0	0	155648         0.789599       0.777446       0.777923       0.77743        0              0              594.944        504.243        
171	0	0	157711         0.788224       0.787675       0.788224       0.787675       0              0              0              0              
172	0	0	159880         0.799          0.798413       0.799          0.798413       0              0              0              0              
173	0	0	162099         0.810331       0.80968        0.810331       0.80968        0              0              0              0              
174	0	0	164515         0.825918       0.821533       0.822252       0.821525       0              0              509.479        410.854        
175	0	0	166987         0.845073       0.834012       0.834832       0.834          0              0              737.193        574.207        
176	0	0	169739         0.848739       0.847192       0.848739       0.847192       0              0              0              0              
177	0	0	172504         0.861995       0.861048       0.861995       0.861048       0              0              0              0              
178	0	0	175452         0.876851       0.875788       0.876851       0.875788       0              0              0              0              
179	0	0	178578         0.892636       0.891443       0.892636       0.891443       0              0              0              0              
180	0	0	181877         0.909468       0.908108       0.909468       0.908108       0              0              0              0              
181	0	0	185518         0.929762       0.925914       0.927423       0.925908       0              0              453.242        425.485        
182	0	0	189364         0.951783       0.944986       0.946725       0.944978       0              0              607.546        497.345        
183	0	0	193569         0.96998        0.96549        0.967501       0.965486       0              0              473.237        412.671        
184	0	0	197905         0.989995       0.987619       0.989995       0.987619       0              0              0              0              
185	0	0	202797         1.01482        1.01162        1.01482        1.01162        0              0              0              0              
186	0	0	208001         1.04098        1.03769        1.04098        1.03769        0              0              0              0              
187	0	0	213709         1.07092        1.06628        1.07092        1.06628        0              0              0              0              
188	0	0	220052         1.10217        1.09769        1.10217        1.09769        0              0              0              0              
189	0	0	227069         1.13857        1.13266        1.13857        1.13266        0              0              0              0              
190	0	0	234941         1.18065        1.17174        1.17888        1.17173        0              0              447.072        378.839        
191	0	0	243808         1.22522        1.21595        1.22522        1.21595        0              0              0              0              
192	0	0	254038         1.28023        1.26651        1.27763        1.26651        0              0              531.217        429.298        
193	0	0	265845         1.34161        1.32548        1.34161        1.32548        0              0              0              0              
194	0	0	279977         1.41962        1.39566        1.41962        1.39566        0              0              0              0              
195	0	0	297253         1.52752        1.48198        1.52533        1.48198        0              0              526.685        449.769        
196	0	0	319262         1.68041        1.59237        1.68041        1.59237        0              0              0              0              
197	0	0	348500         1.9564         1.74195        1.95378        1.74194        0              0              593.951        561.741        
198	0	0	386138         2.391          1.94571        2.38907        1.9457         0              0              553.842        494.436        
199	0	0	432798         3.08438        2.22953        3.08037        2.22952        0              0              739.985        582.749        
