i	j	k	Dose(Gy)       proton_1       proton_1       O16            O16            
225	0	0	4.97854e-09    4.97854e-09    20             0              0              
226	0	0	5.22564e-09    5.22564e-09    20             0              0              
227	0	0	5.2173e-09     5.2173e-09     20             0              0              
228	0	0	4.96605e-09    4.96605e-09    20             0              0              
229	0	0	5.25959e-09    5.25959e-09    20             0              0              
230	0	0	5.3291e-09     5.3291e-09     20             0              0              
231	0	0	5.37605e-09    5.37605e-09    20             0              0              
232	0	0	5.43132e-09    5.43132e-09    20             0              0              
233	0	0	5.67795e-09    5.67795e-09    20             0              0              
234	0	0	5.87495e-09    5.87495e-09    20             0              0              
235	0	0	5.75284e-09    5.75284e-09    20             0              0              
236	0	0	5.94242e-09    5.94242e-09    20             0              0              
237	0	0	5.8377e-09     5.8377e-09     20             0              0              
238	0	0	5.88875e-09    5.88875e-09    20             0              0              
239	0	0	6.13774e-09    6.13774e-09    20             0              0              
240	0	0	6.15123e-09    6.15123e-09    20             0              0              
241	0	0	6.16005e-09    6.16005e-09    20             0              0              
242	0	0	6.41234e-09    6.41234e-09    20             0              0              
243	0	0	6.361e-09      6.361e-09      20             0              0              
244	0	0	6.2639e-09     6.2639e-09     20             0              0              
245	0	0	6.63718e-09    6.63718e-09    20             0              0              
246	0	0	6.63549e-09    6.63549e-09    20             0              0              
247	0	0	6.65844e-09    6.65844e-09    20             0              0              
248	0	0	7.05534e-09    7.05534e-09    20             0              0              
249	0	0	7.18354e-09    7.18354e-09    20             0              0              
250	0	0	7.39516e-09    7.39516e-09    20             0              0              
251	0	0	7.64981e-09    7.64981e-09    20             0              0              
252	0	0	7.86771e-09    7.86771e-09    20             0              0              
253	0	0	8.06749e-09    8.06749e-09    20             0              0              
254	0	0	8.64988e-09    8.64988e-09    20             0              0              
255	0	0	9.4065e-09     9.4065e-09     20             0              0              
256	0	0	8.96201e-09    8.96201e-09    20             0              0              
257	0	0	8.15941e-09    8.15941e-09    19             0              0              
258	0	0	8.50531e-09    8.50531e-09    19             0              0              
259	0	0	8.75988e-09    8.75988e-09    19             0              0              
260	0	0	9.37264e-09    9.37264e-09    19             0              0              
261	0	0	9.58158e-09    9.58158e-09    19             0              0              
262	0	0	9.97059e-09    9.97059e-09    19             0              0              
263	0	0	1.07466e-08    1.07466e-08    19             0              0              
264	0	0	1.17207e-08    1.17207e-08    19             0              0              
265	0	0	1.28955e-08    1.28955e-08    19             0              0              
266	0	0	1.60195e-08    1.60195e-08    19             0              0              
267	0	0	1.31624e-08    1.31624e-08    17             0              0              
268	0	0	1.43837e-08    1.43837e-08    16             0              0              
269	0	0	1.2352e-08     1.2352e-08     14             0              0              
270	0	0	1.2971e-08     1.2971e-08     13             0              0              
271	0	0	1.29196e-08    1.29196e-08    12             0              0              
272	0	0	9.56775e-09    9.56775e-09    9              0              0              
273	0	0	7.18857e-09    7.18857e-09    7              0              0              
274	0	0	8.16732e-09    8.16732e-09    7              0              0              
275	0	0	5.93433e-09    5.93433e-09    5              0              0              
276	0	0	3.72067e-09    3.72067e-09    3              0              0              
277	0	0	5.25321e-09    5.25321e-09    3              0              0              
278	0	0	1.59923e-09    1.59923e-09    1              0              0              
