i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          
92	0	0	134023         0.67053        0.670469       0.67053        0.670469       0              0              0              0              0              0              
93	0	0	135284         0.676536       0.676473       0.676536       0.676473       0              0              0              0              0              0              
94	0	0	136566         0.682744       0.682675       0.682744       0.682675       0              0              0              0              0              0              
95	0	0	137900         0.689167       0.689089       0.689167       0.689089       0              0              0              0              0              0              
96	0	0	139064         0.695804       0.695719       0.695804       0.695719       0              0              0              0              0              0              
97	0	0	140512         0.702673       0.702583       0.702673       0.702583       0              0              0              0              0              0              
98	0	0	142007         0.709794       0.709695       0.709794       0.709695       0              0              0              0              0              0              
99	0	0	143482         0.717182       0.717074       0.717182       0.717074       0              0              0              0              0              0              
100	0	0	144968         0.724845       0.72473        0.724845       0.72473        0              0              0              0              0              0              
101	0	0	146623         0.732807       0.732683       0.732807       0.732683       0              0              0              0              0              0              
102	0	0	148267         0.749979       0.74097        0.741096       0.740957       0              0              527.999        430.467        0              0              
103	0	0	149998         0.749724       0.749568       0.749724       0.749568       0              0              0              0              0              0              
104	0	0	151855         0.758721       0.758546       0.758721       0.758546       0              0              0              0              0              0              
105	0	0	153725         0.768117       0.767917       0.768117       0.767917       0              0              0              0              0              0              
106	0	0	155593         0.777925       0.777704       0.777925       0.777704       0              0              0              0              0              0              
107	0	0	157672         0.788184       0.787939       0.788184       0.787939       0              0              0              0              0              0              
108	0	0	159860         0.799024       0.798693       0.798962       0.798671       2.24314        2.24232        0              0              0              0              
109	0	0	162145         0.81044        0.809969       0.810288       0.809932       3.26196        3.18986        0              0              0              0              
110	0	0	164478         0.823489       0.821845       0.822774       0.821797       11.9704        7.73531        0              0              0              0              
111	0	0	167060         0.838934       0.834203       0.834668       0.834196       0              0              545.017        448.163        0              0              
112	0	0	169690         0.847877       0.847347       0.847877       0.847347       0              0              0              0              0              0              
113	0	0	172348         0.862189       0.861218       0.862189       0.861218       0              0              0              0              0              0              
114	0	0	175364         0.876361       0.875886       0.876361       0.875886       0              0              0              0              0              0              
115	0	0	178560         0.901154       0.891506       0.892026       0.891493       0              0              723.888        572.679        0              0              
116	0	0	181792         0.908729       0.908112       0.908724       0.908109       1.49686        1.49686        0              0              0              0              
117	0	0	185437         0.926593       0.925852       0.926577       0.925843       1.59843        1.59839        0              0              0              0              
118	0	0	189285         0.945752       0.944855       0.945728       0.944842       1.80232        1.80046        0              0              0              0              
119	0	0	193336         0.966754       0.965256       0.966718       0.965239       2.12501        2.11638        0              0              0              0              
120	0	0	197723         0.988346       0.987205       0.988275       0.98718        2.76355        2.73272        0              0              0              0              
121	0	0	202631         1.02051        1.01108        1.0128         1.01101        9.82229        5.99412        696.122        626.137        0              0              
